pcap_file,packet_index,ts,ts_iso,frame_len,src_ip,dst_ip,src_port,dst_port,protocol,geoip_src_country,geoip_src_asn,geoip_dst_country,geoip_dst_asn,is_dns,is_http,is_tls,tls_sni,tls_cert_issuer,tls_cert_fingerprint,tls_cached_info,tcp_flags,dns_qname,dns_qtype,dns_resp_code,dns_a_record,dns_a_ttl,dns_qname_length,dns_qname_entropy,enrich_vt,enrich_whois
demo.pcapng,37,1762971077.529037,2025-11-12T18:11:17.529037,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,38,1762971077.529037,2025-11-12T18:11:17.529037,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0010,,,,,,,,,
demo.pcapng,39,1762971077.529037,2025-11-12T18:11:17.529037,1286,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,40,1762971077.529037,2025-11-12T18:11:17.529037,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0010,,,,,,,,,
demo.pcapng,41,1762971077.529037,2025-11-12T18:11:17.529037,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0010,,,,,,,,,
demo.pcapng,42,1762971077.529037,2025-11-12T18:11:17.529037,160,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,43,1762971077.529464,2025-11-12T18:11:17.529464,74,,,52958,443,TCP,,,,,0,0,0,,,,,0x0010,,,,,,,,,
demo.pcapng,44,1762971077.53257,2025-11-12T18:11:17.532570,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,45,1762971077.532668,2025-11-12T18:11:17.532668,74,,,52958,443,TCP,,,,,0,0,0,,,,,0x0010,,,,,,,,,
demo.pcapng,46,1762971077.536026,2025-11-12T18:11:17.536026,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,47,1762971077.536026,2025-11-12T18:11:17.536026,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0010,,,,,,,,,
demo.pcapng,48,1762971077.536026,2025-11-12T18:11:17.536026,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,49,1762971077.536026,2025-11-12T18:11:17.536026,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0010,,,,,,,,,
demo.pcapng,50,1762971077.536026,2025-11-12T18:11:17.536026,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0010,,,,,,,,,
demo.pcapng,51,1762971077.536026,2025-11-12T18:11:17.536026,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,52,1762971077.536026,2025-11-12T18:11:17.536026,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0010,,,,,,,,,
demo.pcapng,53,1762971077.536026,2025-11-12T18:11:17.536026,1067,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,54,1762971077.536171,2025-11-12T18:11:17.536171,74,,,52958,443,TCP,,,,,0,0,0,,,,,0x0010,,,,,,,,,
demo.pcapng,55,1762971077.541365,2025-11-12T18:11:17.541365,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0010,,,,,,,,,
demo.pcapng,56,1762971077.541365,2025-11-12T18:11:17.541365,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0010,,,,,,,,,
demo.pcapng,57,1762971077.541365,2025-11-12T18:11:17.541365,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,58,1762971077.541365,2025-11-12T18:11:17.541365,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0010,,,,,,,,,
demo.pcapng,59,1762971077.541365,2025-11-12T18:11:17.541365,681,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,60,1762971077.541365,2025-11-12T18:11:17.541365,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0010,,,,,,,,,
demo.pcapng,61,1762971077.541365,2025-11-12T18:11:17.541365,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0010,,,,,,,,,
demo.pcapng,62,1762971077.541365,2025-11-12T18:11:17.541365,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0010,,,,,,,,,
demo.pcapng,63,1762971077.541365,2025-11-12T18:11:17.541365,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,64,1762971077.541365,2025-11-12T18:11:17.541365,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0010,,,,,,,,,
demo.pcapng,65,1762971077.541365,2025-11-12T18:11:17.541365,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0010,,,,,,,,,
demo.pcapng,66,1762971077.541365,2025-11-12T18:11:17.541365,1100,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,67,1762971077.541365,2025-11-12T18:11:17.541365,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,68,1762971077.541365,2025-11-12T18:11:17.541365,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,69,1762971077.541365,2025-11-12T18:11:17.541365,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0010,,,,,,,,,
demo.pcapng,70,1762971077.541507,2025-11-12T18:11:17.541507,74,,,52958,443,TCP,,,,,0,0,0,,,,,0x0010,,,,,,,,,
demo.pcapng,71,1762971077.541678,2025-11-12T18:11:17.541678,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,72,1762971077.541678,2025-11-12T18:11:17.541678,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0010,,,,,,,,,
demo.pcapng,73,1762971077.541714,2025-11-12T18:11:17.541714,74,,,52958,443,TCP,,,,,0,0,0,,,,,0x0010,,,,,,,,,
demo.pcapng,74,1762971077.542685,2025-11-12T18:11:17.542685,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0010,,,,,,,,,
demo.pcapng,75,1762971077.542685,2025-11-12T18:11:17.542685,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,76,1762971077.542727,2025-11-12T18:11:17.542727,74,,,52958,443,TCP,,,,,0,0,0,,,,,0x0010,,,,,,,,,
demo.pcapng,77,1762971077.543475,2025-11-12T18:11:17.543475,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0010,,,,,,,,,
demo.pcapng,78,1762971077.543475,2025-11-12T18:11:17.543475,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0010,,,,,,,,,
demo.pcapng,79,1762971077.543475,2025-11-12T18:11:17.543475,192,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,80,1762971077.543536,2025-11-12T18:11:17.543536,74,,,52958,443,TCP,,,,,0,0,0,,,,,0x0010,,,,,,,,,
demo.pcapng,81,1762971077.57808,2025-11-12T18:11:17.578080,150,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,82,1762971077.582019,2025-11-12T18:11:17.582019,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,83,1762971077.582019,2025-11-12T18:11:17.582019,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,84,1762971077.582019,2025-11-12T18:11:17.582019,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,85,1762971077.582019,2025-11-12T18:11:17.582019,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,86,1762971077.582019,2025-11-12T18:11:17.582019,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0010,,,,,,,,,
demo.pcapng,87,1762971077.582019,2025-11-12T18:11:17.582019,455,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,88,1762971077.582144,2025-11-12T18:11:17.582144,74,,,52958,443,TCP,,,,,0,0,0,,,,,0x0010,,,,,,,,,
demo.pcapng,89,1762971077.593319,2025-11-12T18:11:17.593319,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,90,1762971077.593319,2025-11-12T18:11:17.593319,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,91,1762971077.593319,2025-11-12T18:11:17.593319,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,92,1762971077.593319,2025-11-12T18:11:17.593319,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,93,1762971077.593428,2025-11-12T18:11:17.593428,74,,,52958,443,TCP,,,,,0,0,0,,,,,0x0010,,,,,,,,,
demo.pcapng,94,1762971077.595036,2025-11-12T18:11:17.595036,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0010,,,,,,,,,
demo.pcapng,95,1762971077.595036,2025-11-12T18:11:17.595036,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0010,,,,,,,,,
demo.pcapng,96,1762971077.595036,2025-11-12T18:11:17.595036,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0010,,,,,,,,,
demo.pcapng,97,1762971077.595036,2025-11-12T18:11:17.595036,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,98,1762971077.595036,2025-11-12T18:11:17.595036,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0010,,,,,,,,,
demo.pcapng,99,1762971077.595036,2025-11-12T18:11:17.595036,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0010,,,,,,,,,
demo.pcapng,100,1762971077.595036,2025-11-12T18:11:17.595036,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0010,,,,,,,,,
demo.pcapng,101,1762971077.595036,2025-11-12T18:11:17.595036,665,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,102,1762971077.595105,2025-11-12T18:11:17.595105,74,,,52958,443,TCP,,,,,0,0,0,,,,,0x0010,,,,,,,,,
demo.pcapng,103,1762971077.59841,2025-11-12T18:11:17.598410,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,104,1762971077.59841,2025-11-12T18:11:17.598410,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,105,1762971077.59841,2025-11-12T18:11:17.598410,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,106,1762971077.59841,2025-11-12T18:11:17.598410,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,107,1762971077.59841,2025-11-12T18:11:17.598410,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0010,,,,,,,,,
demo.pcapng,108,1762971077.59841,2025-11-12T18:11:17.598410,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0010,,,,,,,,,
demo.pcapng,109,1762971077.59841,2025-11-12T18:11:17.598410,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0010,,,,,,,,,
demo.pcapng,110,1762971077.59841,2025-11-12T18:11:17.598410,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,111,1762971077.59841,2025-11-12T18:11:17.598410,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0010,,,,,,,,,
