src_ip,dst_ip,src_port,dst_port,proto,dur,sbytes,dbytes,spkts,dpkts,smean,dmean,rate,sload,dload,tcprtt,synack,ackdat,state,service,ct_src_dport_ltm,ct_dst_sport_ltm,is_sm_ips_ports
192.168.29.118,13.248.151.210,52699,443,TCP,45.01921892166138,110.0,0,2,0,55.0,0,0.04442547089677922,19.547207194582857,0.0,,,,FIN,other,0,0,0
13.248.151.210,192.168.29.118,443,52699,TCP,45.01919198036194,132.0,0,2,0,66.0,0,0.04442549748277203,23.456662670903633,0.0,,,,FIN,other,0,0,0
192.168.29.118,148.113.9.53,52715,443,TCP,50.09366202354431,384.0,0,7,0,54.857142857142854,0,0.13973823667972127,61.325123297157674,0.0,,,,FIN,other,1,0,0
148.113.9.53,192.168.29.118,443,52715,TCP,50.08702111244202,450.0,0,7,0,64.28571428571429,0,0.13975676421812883,71.87490731218054,0.0,,,,FIN,other,0,1,0
